epoch,lr,train_loss,train_acc_c1,train_acc_c2,val_loss,val_acc_c1,val_acc_c2,epoch_seconds
1,0.0009939057285945933,2.174861447374263,0.19611021069692058,0.41695988740323714,1.7199347393510882,0.3049693669162696,0.7269471799462847,125.82612609863281
2,0.0009757729755661012,1.3341734420577434,0.4544159544159544,0.7890055150329123,1.1965922208507211,0.48808713410483323,0.8281110116383169,127.01932883262634
3,0.0009460482294732422,0.890149796232906,0.6121179815209666,0.8735960064182564,1.0096923365946988,0.6058543226684819,0.7197851387645479,132.56084656715393
4,0.0009054634122155991,0.6538652322614193,0.7021392313270486,0.9099807725922041,0.797994812467904,0.6501021102791015,0.873769024171889,133.1706018447876
5,0.0008550178566873411,0.5216422984849794,0.7683274021352313,0.9375111269360868,0.7799569652786756,0.6439754935330156,0.8254252461951657,132.6742889881134
6,0.0007959536998847743,0.43540708634886677,0.787765293383271,0.9500888099467141,0.7851191252493065,0.6487406398910823,0.8594449418084154,123.12432503700256
7,0.0007297252973710758,0.3523000231669277,0.8331545064377682,0.9617360496014172,0.7609819095446357,0.6432947583390062,0.8755595344673232,123.03946137428284
8,0.0006579634122155991,0.2932782211453929,0.8683324472798157,0.9712191633893458,0.7312357591872795,0.6487406398910823,0.8719785138764548,123.28808879852295
9,0.0005824350601949144,0.2823242165285508,0.8640845070422535,0.9685081878711534,0.5986062631253023,0.7270251872021783,0.8907788719785139,120.47160053253174
10,0.0005050000000000001,0.23203161815800488,0.8926916221033868,0.9747645281677626,0.6834315498116766,0.6882232811436352,0.8755595344673232,124.16958713531494
11,0.000427564939805086,0.2002270103423867,0.9083928571428571,0.9817278694340962,0.6280945945078794,0.7345132743362832,0.8495971351835273,123.38887858390808
12,0.0003520365877844012,0.17512936560063957,0.9240021869874249,0.9803478260869565,0.5731717688186355,0.7583390061266168,0.8863025962399284,122.3834137916565
13,0.00028027470262892445,0.16328193034482424,0.9307542836954602,0.9799139167862266,0.6752881793620761,0.720217835262083,0.8621307072515667,122.44182133674622
14,0.0002140463001152259,0.14751104462175402,0.9397163120567376,0.9855279614078971,0.5851374913960672,0.7556160653505786,0.8970456580125336,122.31467390060425
15,0.00015498214331265904,0.13573244799389644,0.945247012662743,0.9841918294849024,0.5664909596584466,0.7617426820966644,0.8755595344673232,122.26989459991455
16,0.00010453658778440108,0.12338942940722923,0.953144486014609,0.9887980085348507,0.5727400946397009,0.7467665078284548,0.8988361683079678,124.21077680587769
17,6.395177052675796e-05,0.11693730529988164,0.9583333333333334,0.9868910540301151,0.5679744831866197,0.7569775357385977,0.8889883616830797,124.9123477935791
18,3.422702443389901e-05,0.11719627787530704,0.9533770608048219,0.9899928520371694,0.567767523118199,0.7597004765146358,0.8988361683079678,123.07118511199951
19,1.6094271405406862e-05,0.10628396720874349,0.9606299212598425,0.9899097185342538,0.5693540409991009,0.7562968005445881,0.9024171888988362,120.98695468902588
20,1e-05,0.1080922192368546,0.9596174282678002,0.9894473260597388,0.5555340664436765,0.7576582709326072,0.9068934646374217,123.3357138633728
